nodes,l,seed,a_node,int_samples,page_rank_tests,page_rank_time,page_rank_accuracy,page_rank_top_l_targets,baro_tests,baro_time,baro_accuracy,baro_top_l_targets,smooth_tests,smooth_time,smooth_accuracy,smooth_top_l_targets,mutual_info_tests,mutual_info_time,mutual_info_accuracy,mutual_info_top_l_targets,rcd_tests,rcd_time,rcd_accuracy,rcd_top_l_targets,m_igs_tests,m_igs_time,m_igs_accuracy,m_igs_top_l_targets,rcg_cpdag_tests,rcg_cpdag_time,rcg_cpdag_accuracy,rcg_cpdag_top_l_targets,rcg_dag_tests,rcg_dag_time,rcg_dag_accuracy,rcg_dag_top_l_targets
25,1,61,X3,1000,25,1.1617317199707031,0,['X23'],24,17.813679695129395,0,['X21'],25,99.94767189025879,1,['X3'],25,145.9188346862793,1,['X3'],293,109.90390110015869,1,['X3'],6,1.3204126358032227,0,['dummy_sink'],25,1266.4967603683472,1,['X3'],25,1305.9771728515625,1,['X3']
25,1,62,X18,1000,25,1.9510059356689453,0,['X24'],24,26.88729953765869,0,['X1'],25,131.8823366165161,0,['X22'],25,217.6492156982422,0,['X22'],284,170.46769332885742,0,['X22'],4,1.7581748962402344,1,['X18'],25,2107.0642290115356,1,['X18'],25,2140.6896934509277,0,['X21']
25,1,63,X12,1000,25,2.148074150085449,0,['X21'],24,26.858250617980957,0,['X8'],25,129.49549865722656,1,['X12'],25,221.4799165725708,1,['X12'],296,181.05699920654297,1,['X12'],7,2.466660499572754,0,['X13'],25,2079.522886276245,1,['X12'],25,2064.130941390991,1,['X12']
25,1,64,X4,1000,25,1.886362075805664,0,['X24'],24,26.848909378051758,0,['X20'],25,129.8834114074707,0,['X6'],25,221.88035583496094,0,['X6'],141,137.41551780700684,0,['X6'],6,1.9663810729980469,0,['dummy_sink'],25,1785.5620079040527,0,['X3'],25,1770.2518320083618,0,['X12']
25,1,65,X14,1000,25,2.16878604888916,0,['X24'],24,26.900035858154297,0,['X7'],25,135.2269992828369,1,['X14'],25,228.11121368408203,1,['X14'],212,162.4786787033081,0,['X10'],7,2.237537384033203,1,['X14'],25,2049.349687576294,1,['X14'],25,2065.461464881897,1,['X14']
25,1,66,X20,1000,25,1.882298469543457,0,['X23'],24,26.833258628845215,0,['X3'],25,135.08233070373535,1,['X20'],25,222.20856475830078,1,['X20'],257,185.47387886047363,1,['X20'],5,1.8001708984375,1,['X20'],25,2231.7853574752808,1,['X20'],25,2206.4656620025635,1,['X20']
25,1,67,X3,1000,25,2.1835975646972656,0,['X21'],24,28.264484405517578,0,['X22'],25,137.28519439697266,1,['X3'],25,222.9965295791626,1,['X3'],649,356.29020500183105,1,['X3'],6,2.1513748168945312,0,['dummy_sink'],25,2204.5085973739624,1,['X3'],25,2202.0080308914185,1,['X3']
25,1,68,X18,1000,25,2.3812246322631836,0,['X24'],24,27.650599479675293,0,['X22'],25,131.33451557159424,1,['X18'],25,217.42219638824463,1,['X18'],315,190.2051305770874,1,['X18'],3,1.3270769119262695,0,['X24'],25,2239.6071968078613,1,['X18'],25,2202.375217437744,1,['X18']
25,1,69,X22,1000,25,1.8277435302734375,0,['X18'],24,26.426877975463867,0,['X16'],25,128.9188995361328,1,['X22'],25,229.56474018096924,1,['X22'],339,203.4551486968994,1,['X22'],8,2.6281051635742188,1,['X22'],25,1795.8904466629028,1,['X22'],25,1781.230167388916,1,['X22']
25,1,70,X14,1000,25,2.0770044326782227,0,['X24'],24,28.285799980163574,0,['X17'],25,132.26894187927246,1,['X14'],25,223.3910083770752,1,['X14'],458,272.4792003631592,1,['X14'],5,1.8898248672485352,0,['dummy_sink'],25,2042.5193605422974,1,['X14'],25,2080.2596912384033,1,['X14']
25,1,71,X11,1000,25,2.036163330078125,0,['X23'],24,26.24553871154785,0,['X13'],25,134.7783088684082,1,['X11'],25,236.09453773498535,1,['X11'],199,171.57718467712402,1,['X11'],6,2.148754119873047,0,['X19'],25,2238.3385639190674,1,['X11'],25,2271.651467323303,1,['X11']
25,1,72,X24,1000,25,1.1543207168579102,1,['X24'],24,17.415071487426758,0,['X17'],25,86.26859283447266,0,['X17'],25,148.4420108795166,0,['X17'],310,117.85696601867676,0,['X17'],5,1.1784896850585938,1,['X24'],25,1280.2506675720215,1,['X24'],25,1229.7893524169922,1,['X24']
25,1,73,X22,1000,25,1.3837928771972656,0,['X18'],24,17.93428897857666,0,['X8'],25,86.40146446228027,1,['X22'],25,151.56766319274902,1,['X22'],339,131.53223991394043,1,['X22'],6,1.3549308776855469,0,['dummy_sink'],25,1279.321364402771,1,['X22'],25,1215.2894773483276,1,['X22']
