nodes,l,seed,a_node,int_samples,page_rank_tests,page_rank_time,page_rank_accuracy,page_rank_top_l_targets,baro_tests,baro_time,baro_accuracy,baro_top_l_targets,smooth_tests,smooth_time,smooth_accuracy,smooth_top_l_targets,mutual_info_tests,mutual_info_time,mutual_info_accuracy,mutual_info_top_l_targets,rcd_tests,rcd_time,rcd_accuracy,rcd_top_l_targets,m_igs_tests,m_igs_time,m_igs_accuracy,m_igs_top_l_targets,rcg_cpdag_tests,rcg_cpdag_time,rcg_cpdag_accuracy,rcg_cpdag_top_l_targets,rcg_dag_tests,rcg_dag_time,rcg_dag_accuracy,rcg_dag_top_l_targets
25,1,23,X19,1000,25,2.1435909271240234,0,['X24'],24,23.7597074508667,0,['X23'],25,119.69267177581787,1,['X19'],25,216.12610626220703,1,['X19'],399,205.0535593032837,1,['X19'],4,1.457183837890625,1,['X19'],25,1585.7511043548584,1,['X19'],25,1669.8566455841064,1,['X19']
25,1,24,X2,1000,25,1.6936912536621094,0,['X18'],24,23.85266399383545,0,['X11'],25,130.3235273361206,1,['X2'],25,217.4915313720703,1,['X2'],293,179.22819805145264,1,['X2'],8,2.4345703125,0,['dummy_sink'],25,2103.5644025802612,1,['X2'],25,2149.58314704895,1,['X2']
25,1,25,X4,1000,25,2.283357620239258,0,['X24'],24,24.456904411315918,1,['X4'],25,132.06427001953125,1,['X4'],25,225.87229824066162,1,['X4'],245,149.84645462036133,1,['X4'],4,1.5145072937011719,0,['dummy_sink'],25,1807.1484746932983,1,['X4'],25,1818.7606706619263,1,['X4']
25,1,26,X21,1000,25,1.8441667556762695,0,['X24'],24,28.51421356201172,0,['X5'],25,129.35832691192627,1,['X21'],25,209.35134029388428,1,['X21'],286,147.76635360717773,1,['X21'],6,1.9792346954345703,1,['X21'],25,2066.9931440353394,1,['X21'],25,2161.2872524261475,1,['X21']
25,1,27,X19,1000,25,1.9109086990356445,0,['X21'],24,25.014585494995117,0,['X2'],25,129.92348289489746,1,['X19'],25,214.27282428741455,1,['X19'],271,170.8660535812378,1,['X19'],3,1.2605714797973633,1,['X19'],25,1908.6384315490723,1,['X19'],25,2000.805256843567,1,['X19']
25,1,28,X1,1000,25,1.9107599258422852,0,['X19'],24,22.344304084777832,0,['X13'],25,99.94705867767334,1,['X1'],25,128.66532802581787,1,['X1'],225,93.14106464385986,1,['X1'],4,0.9748296737670898,1,['X1'],25,1228.580075263977,1,['X1'],25,1261.6780853271484,1,['X1']
25,1,29,X21,1000,25,1.086263656616211,0,['X22'],24,15.763766288757324,0,['X9'],25,77.04735088348389,1,['X21'],25,153.29401302337646,1,['X21'],152,79.85062313079834,1,['X21'],5,1.1161718368530273,0,['X24'],25,1251.2138023376465,1,['X21'],25,1302.0051794052124,1,['X21']
25,1,30,X5,1000,25,1.8918819427490234,0,['X22'],24,24.765518188476562,0,['X10'],25,126.98340129852295,1,['X5'],25,210.48339366912842,1,['X5'],640,326.84449100494385,1,['X5'],5,1.6890134811401367,0,['X24'],25,1998.3703632354736,1,['X5'],25,2032.6660795211792,1,['X5']
25,1,31,X18,1000,25,1.8939571380615234,0,['X24'],24,24.911771774291992,0,['X20'],25,130.73039627075195,0,['X15'],25,282.89945125579834,0,['X15'],161,105.8009843826294,0,['X9'],6,1.862288475036621,0,['dummy_sink'],25,2118.2869844436646,1,['X18'],25,2166.4266986846924,1,['X18']
25,1,32,X23,1000,25,1.680720329284668,0,['X18'],24,23.811598777770996,0,['X14'],25,126.47067642211914,1,['X23'],25,204.30197715759277,1,['X23'],369,189.01880550384521,1,['X23'],9,2.557809829711914,1,['X23'],25,2074.991126060486,1,['X23'],25,2076.894953727722,1,['X23']
